diagnosis,median,mean,count,min,max
Acute Kidney Injury,11.3,11.122988505747127,87,4.0,16.7
Anemia,11.5,11.442268041237114,97,5.4,16.9
HIV/AIDS,11.5,11.505172413793103,116,5.9,17.5
Heart Failure,11.6,11.447222222222221,108,4.4,16.7
Hypertension,11.4,11.333333333333334,102,6.9,16.1
Malaria,11.0,11.15575221238938,113,5.7,18.5
Pneumonia,11.5,11.470297029702971,101,4.2,19.4
Sepsis,11.7,11.513483146067417,89,6.3,15.7
Tuberculosis,11.4,11.402999999999999,100,3.6,16.3
Type 2 Diabetes,11.05,11.014367816091953,87,3.6,17.4
