diagnosis,median,mean,count,min,max
Acute Kidney Injury,123.0,123.10344827586206,87,75.0,166.0
Anemia,122.0,121.85567010309278,97,75.0,204.0
HIV/AIDS,124.0,123.82758620689656,116,84.0,190.0
Heart Failure,124.0,123.88888888888889,108,70.0,169.0
Hypertension,124.0,126.7843137254902,102,81.0,173.0
Malaria,124.0,125.01769911504425,113,75.0,182.0
Pneumonia,129.0,127.95049504950495,101,82.0,170.0
Sepsis,124.0,122.35955056179775,89,73.0,165.0
Tuberculosis,125.0,126.36,100,83.0,171.0
Type 2 Diabetes,125.0,125.86206896551724,87,82.0,175.0
